# Previsioni dei sei metodi sui concorsi del 2012.
# giorno|metodo|ruote|colpi|anche_tutte|sorti|nota|avviso
20120103|ambosecco_caotico|BA,RM,PA|2|1|ambo:65-87;ambo:82-87|A=73 su BA/RM, B=17 su PA|
20120103|ambosecco_caotico|BA,PA,RM|2|1|ambo:3-16;ambo:13-88|A=17 su BA/PA, B=73 su RM|
20120103|ambosecco_caotico|CA,PA,TO|2|1|ambo:73-88;ambo:81-88|A=82 su CA/PA, B=8 su TO|
20120103|ambosecco_caotico|GE,MI,NA|2|1|ambo:13-36;ambo:46-88|A=14 su GE/MI, B=76 su NA|
20120103|ambosecco_caotico|GE,NA,MI|2|1|ambo:54-68;ambo:54-82|A=76 su GE/NA, B=14 su MI|
20120103|ambosecco_caotico|PA,TO,VE|2|1|ambo:6-40;ambo:16-85|A=44 su PA/TO, B=46 su VE|
20120103|lottofacile1|BA,FI|6|0|ambata:74;ambo:2-74;ambo:20-74;terzina:2-20-74|pos 3-4 somma 88|
20120103|lottofacile1|CA,FI|6|0|ambata:74;ambo:48-74;ambo:74-84;terzina:48-74-84|pos 3-5 somma 42|
20120103|fulmine|CA,RM|12|0|ambata:82;ambo:19-82;ambo:73-82;ambo:10-82;quartina:10-19-73-82|figura, coppie ((82, 10), (19, 73))|
20120103|fulmine|GE,MI|12|0|ambata:63;ambo:45-63;ambo:9-63;ambo:27-63;quartina:9-27-45-63|figura, coppie ((45, 27), (9, 63))|
20120103|lottofacile1|PA,RM|6|0|ambata:56;ambo:2-56;ambo:20-56;terzina:2-20-56|pos 1-2 somma 88|
20120103|lottofacile4|PA,VE|14|1|ambata:47;ambo:2-47;ambo:47-77;ambo:17-47;terzina:2-17-77|pos 2-5 diagonale|
20120103|lottofacile1|PA,VE|6|0|ambata:64;ambo:64-67;ambo:64-76;terzina:64-67-76|pos 2-5 somma 23|
20120103|lottofacile1|RM,TO|6|0|ambata:10;ambo:10-86;ambo:10-68;terzina:10-68-86|pos 3-4 somma 4|
20120105|ambosecco_caotico|CA,VE,NA|2|1|ambo:41-84;ambo:84-85|A=46 su CA/VE, B=44 su NA|
20120105|lottofacile5|BA|9|0|ambata:54;ambo:45-54;ambo:54-90;quartina:15-45-54-75;quartina:30-54-60-90|rilevamento 36-81|
20120105|lottofacile5|TO|9|0|ambata:12;ambo:12-56;ambo:11-12;quartina:12-26-56-86;quartina:11-12-41-71|rilevamento 37-82|
20120105|lottofacile1|BA,VE|6|0|ambata:90;ambo:44-90;ambo:49-90;terzina:44-49-90|pos 3-5 somma 46|
20120105|lottofacile1|CA,VE|6|0|ambata:54;ambo:17-54;ambo:54-71;terzina:17-54-71|pos 4-5 somma 73|
20120105|lottofacile1|FI,VE|6|0|ambata:16;ambo:10-16;ambo:1-16;terzina:1-10-16|pos 2-4 somma 80|
20120105|lottofacile1|NA,RM|6|0|ambata:24;ambo:24-40;ambo:4-24;terzina:4-24-40|pos 4-5 somma 50|
20120105|lottofacile1|RM,VE|6|0|ambata:16;ambo:16-37;ambo:16-73;terzina:16-37-73|pos 2-3 somma 53|
20120107|ambosecco_caotico|CA,VE,FI,PA|2|1|ambo:19-59;ambo:69-87|A=21 su CA/VE, B=69 su FI/PA|
20120107|ambosecco_caotico|FI,PA,CA,VE|2|1|ambo:31-62;ambo:31-83|A=69 su FI/PA, B=21 su CA/VE|
20120107|ambosecco_caotico|MI,PA,VE|2|1|ambo:13-36;ambo:46-88|A=14 su MI/PA, B=76 su VE|
20120107|ambosecco_caotico|TO,VE,RM|2|1|ambo:28-38;ambo:38-85|A=42 su TO/VE, B=48 su RM|
20120107|lottofacile5|FI|9|0|ambata:27;ambo:27-39;ambo:27-84;quartina:9-27-39-69;quartina:24-27-54-84|rilevamento 24-69|potenza ridotta: ambata uscita negli ultimi 6 concorsi
20120107|lottofacile5|NA|9|0|ambata:9;ambata:54;ambo:9-45;ambo:9-90;ambo:45-54;ambo:54-90;quartina:9-15-45-75;quartina:9-30-60-90;quartina:15-45-54-75;quartina:30-54-60-90|rilevamento 36-81|
20120107|lottofacile5|PA|9|0|ambata:33;ambo:33-73;ambo:28-33;quartina:13-33-43-73;quartina:28-33-58-88|rilevamento 14-59|
20120107|lottofacile1|CA,NA|6|0|ambata:32;ambo:28-32;ambo:32-82;terzina:28-32-82|pos 1-2 somma 62|
20120107|fulmine|CA,NA|12|0|ambata:81;ambo:41-81;ambo:21-81;ambo:61-81;quartina:21-41-61-81|cadenza, coppie ((41, 61), (21, 81))|
20120107|lottofacile1|MI,TO|6|0|ambata:56;ambo:28-56;ambo:56-82;terzina:28-56-82|pos 3-5 somma 62|
20120110|ambosecco_caotico|BA,PA,MI,RM|2|1|ambo:10-69;ambo:79-88|A=11 su BA/PA, B=79 su MI/RM|
20120110|ambosecco_caotico|BA,TO,CA,RM|2|1|ambo:14-25;ambo:35-88|A=15 su BA/TO, B=75 su CA/RM|
20120110|ambosecco_caotico|CA,RM,BA,TO|2|1|ambo:65-67;ambo:65-82|A=75 su CA/RM, B=15 su BA/TO|
20120110|ambosecco_caotico|GE,VE,FI|2|1|ambo:4-46;ambo:56-89|A=4 su GE/VE, B=86 su FI|
20120110|ambosecco_caotico|MI,RM,BA,PA|2|1|ambo:21-71;ambo:21-82|A=79 su MI/RM, B=11 su BA/PA|
20120110|lottofacile5|BA|9|0|ambata:9;ambata:54;ambo:9-45;ambo:9-90;ambo:45-54;ambo:54-90;quartina:9-15-45-75;quartina:9-30-60-90;quartina:15-45-54-75;quartina:30-54-60-90|rilevamento 36-81|potenza ridotta: ambata uscita negli ultimi 6 concorsi
20120110|lottofacile5|NA|9|0|ambata:21;ambo:21-29;ambo:21-74;quartina:21-29-59-89;quartina:14-21-44-74|rilevamento 10-55|
20120110|lottofacile1|BA,FI|6|0|ambata:24;ambo:24-37;ambo:24-73;terzina:24-37-73|pos 1-4 somma 53|
20120110|lottofacile1|BA,RM|6|0|ambata:60;ambo:12-60;ambo:21-60;terzina:12-21-60|pos 2-4 somma 78|
20120110|lottofacile1|MI,NA|6|0|ambata:20;ambo:20-25;ambo:20-52;terzina:20-25-52|pos 4-5 somma 65|
20120110|lottofacile1|MI,VE|6|0|ambata:8;ambo:8-49;ambo:8-44;terzina:8-44-49|pos 1-3 somma 41|
20120110|lottofacile1|NA,RM|6|0|ambata:62;ambo:26-62;ambo:62-62|pos 1-5 somma 64|
20120110|lottofacile1|NA,VE|6|0|ambata:8;ambo:8-26;ambo:8-62;terzina:8-26-62|pos 1-5 somma 64|
20120110|lottofacile1|PA,RM|6|0|ambata:68;ambo:23-68;ambo:32-68;terzina:23-32-68|pos 3-5 somma 67|
20120110|lottofacile1|RM,VE|6|0|ambata:8;ambo:8-26;ambo:8-62;terzina:8-26-62|pos 1-5 somma 64|
20120112|ambosecco_caotico|CA,MI,VE,PA|2|1|ambo:41-53;ambo:41-84|A=59 su CA/MI/VE, B=31 su PA|
20120112|ambosecco_caotico|GE,MI,NA|2|1|ambo:27-30;ambo:37-86|A=33 su GE/MI, B=57 su NA|
20120112|ambosecco_caotico|PA,VE,CA,MI|2|1|ambo:28-49;ambo:59-86|A=31 su PA/VE, B=59 su CA/MI|
20120112|lottofacile5|NA|9|0|ambata:30;ambata:75;ambo:30-32;ambo:30-77;ambo:32-75;ambo:75-77;quartina:2-30-32-62;quartina:17-30-47-77;quartina:2-32-62-75;quartina:17-47-75-77|rilevamento 43-88|potenza ridotta: ambata uscita negli ultimi 6 concorsi
20120112|lottofacile1|BA,RM|6|0|ambata:68;ambo:36-68;ambo:63-68;terzina:36-63-68|pos 3-5 somma 54|
20120112|lottofacile1|CA,FI|6|0|ambata:76;ambo:38-76;ambo:76-83;terzina:38-76-83|pos 3-4 somma 52|
20120112|lottofacile1|GE,RM|6|0|ambata:26;ambo:26-44;ambo:26-49;terzina:26-44-49|pos 2-4 somma 46|
20120112|lottofacile1|MI,PA|6|0|ambata:44;ambo:44-81;ambo:18-44;terzina:18-44-81|pos 1-3 somma 9|
20120112|lottofacile1|RM,TO|6|0|ambata:20;ambo:20-29;ambo:20-22;terzina:20-22-29|pos 1-5 somma 61|
20120114|ambosecco_caotico|BA,RM,VE,GE,TO|2|1|ambo:50-74;ambo:74-84|A=56 su BA/RM/VE, B=34 su GE/TO|
20120114|ambosecco_caotico|GE,TO,BA,RM,VE|2|1|ambo:16-31;ambo:26-86|A=34 su GE/TO, B=56 su BA/RM/VE|
20120114|ambosecco_caotico|NA,VE,PA|2|1|ambo:10-72;ambo:10-82|A=80 su NA/VE, B=10 su PA|
20120114|lottofacile1|CA,TO|6|0|ambata:58;ambo:58-72;ambo:27-58;terzina:27-58-72|pos 1-4 somma 18|
20120114|lottofacile1|FI,GE|6|0|ambata:30;ambo:30-68;ambo:30-86;terzina:30-68-86|pos 1-4 somma 22|
20120114|lottofacile1|FI,NA|6|0|ambata:70;ambo:70-83;ambo:38-70;terzina:38-70-83|pos 4-5 somma 7|
20120114|lottofacile1|FI,VE|6|0|ambata:60;ambo:60-70;ambo:7-60;terzina:7-60-70|pos 2-5 somma 20|
20120117|ambosecco_caotico|BA,MI,NA|2|1|ambo:14-15;ambo:24-88|A=16 su BA/MI, B=74 su NA|
20120117|ambosecco_caotico|CA,NA,GE|2|1|ambo:21-37;ambo:47-87|A=23 su CA/NA, B=67 su GE|
20120117|lottofacile4|BA,TO|14|1|ambata:47;ambo:2-47;ambo:47-77;ambo:17-47;terzina:2-17-77|pos 4-5 orizzontale|
20120117|lottofacile1|CA,GE|6|0|ambata:84;ambo:3-84;ambo:30-84;terzina:3-30-84|pos 1-3 somma 87|
20120117|lottofacile1|CA,RM|6|0|ambata:50;ambo:7-50;ambo:50-70;terzina:7-50-70|pos 3-5 somma 83|
20120117|lottofacile1|FI,RM|6|0|ambata:6;ambo:6-29;ambo:6-22;terzina:6-22-29|pos 1-5 somma 61|
20120117|lottofacile1|FI,TO|6|0|ambata:72;ambo:32-72;ambo:23-72;terzina:23-32-72|pos 2-5 somma 58|
20120117|lottofacile1|GE,NA|6|0|ambata:46;ambo:18-46;ambo:46-81;terzina:18-46-81|pos 1-4 somma 72|
20120117|lottofacile1|MI,RM|6|0|ambata:6;ambo:6-46;ambo:6-64;terzina:6-46-64|pos 1-2 somma 44|
20120117|lottofacile1|NA,TO|6|0|ambata:72;ambo:62-72;ambo:26-72;terzina:26-62-72|pos 2-4 somma 28|
20120117|lottofacile1|PA,VE|6|0|ambata:16;ambo:16-83;ambo:16-38;terzina:16-38-83|pos 2-4 somma 7|
20120119|ambosecco_caotico|GE,NA,RM,PA|2|1|ambo:17-39;ambo:27-85|A=43 su GE/NA/RM, B=47 su PA|
20120119|lottofacile5|BA|9|0|ambata:12;ambo:12-89;ambo:12-44;quartina:12-29-59-89;quartina:12-14-44-74|rilevamento 4-49|
20120119|lottofacile5|CA|9|0|ambata:45;ambata:90;ambo:27-45;ambo:45-72;ambo:27-90;ambo:72-90;quartina:27-45-57-87;quartina:12-42-45-72;quartina:27-57-87-90;quartina:12-42-72-90|rilevamento 18-63|
20120119|lottofacile4|CA,VE|14|1|ambata:55;ambo:10-55;ambo:55-85;ambo:25-55;terzina:10-25-85|pos 1-3 diagonale|
20120119|lottofacile1|CA,VE|6|0|ambata:44;ambo:44-65;ambo:44-56;terzina:44-56-65|pos 1-3 somma 25|
20120119|lottofacile1|FI,NA|6|0|ambata:70;ambo:3-70;ambo:30-70;terzina:3-30-70|pos 1-2 somma 87|
20120119|lottofacile1|FI,TO|6|0|ambata:88;ambo:9-88;ambo:88-90;terzina:9-88-90|pos 3-4 somma 81|
20120119|lottofacile1|MI,TO|6|0|ambata:62;ambo:48-62;ambo:62-84;terzina:48-62-84|pos 1-5 somma 42|
20120119|lottofacile1|RM,VE|6|0|ambata:44;ambo:36-44;ambo:44-63;terzina:36-44-63|pos 1-5 somma 54|
20120121|ambosecco_caotico|BA,CA,VE|2|1|ambo:19-55;ambo:29-83|A=61 su BA/CA, B=29 su VE|
20120121|ambosecco_caotico|FI,NA,PA|2|1|ambo:41-84;ambo:84-85|A=46 su FI/NA, B=44 su PA|
20120121|ambosecco_caotico|PA,VE,NA|2|1|ambo:50-74;ambo:74-84|A=56 su PA/VE, B=34 su NA|
20120121|lottofacile1|BA,RM|6|0|ambata:14;ambo:14-37;ambo:14-73;terzina:14-37-73|pos 1-4 somma 53|
20120121|lottofacile1|CA,RM|6|0|ambata:14;ambo:14-66;ambo:14-69;terzina:14-66-69|pos 1-2 somma 24|
20120121|lottofacile1|MI,NA|6|0|ambata:68;ambo:68-72;ambo:27-68;terzina:27-68-72|pos 1-4 somma 18|
20120121|lottofacile1|MI,PA|6|0|ambata:10;ambo:10-65;ambo:10-56;terzina:10-56-65|pos 3-5 somma 25|
20120121|lottofacile1|PA,RM|6|0|ambata:2;ambo:2-26;ambo:2-62;terzina:2-26-62|pos 4-5 somma 64|
20120124|ambosecco_caotico|CA,NA,RM|2|1|ambo:42-61;ambo:42-83|A=68 su CA/NA, B=22 su RM|
20120124|ambosecco_caotico|GE,TO,BA|2|1|ambo:53-60;ambo:53-83|A=67 su GE/TO, B=23 su BA|
20120124|ambosecco_caotico|PA,TO,BA|2|1|ambo:41-84;ambo:84-85|A=46 su PA/TO, B=44 su BA|
20120124|lottofacile1|BA,NA|6|0|ambata:6;ambo:6-87;ambo:6-78;terzina:6-78-87|pos 2-3 somma 3|
20120124|lottofacile1|BA,TO|6|0|ambata:44;ambo:44-67;ambo:44-76;terzina:44-67-76|pos 4-5 somma 23|
20120124|lottofacile1|CA,FI|6|0|ambata:20;ambo:20-35;ambo:20-53;terzina:20-35-53|pos 4-5 somma 55|
20120124|lottofacile4|NA,TO|14|1|ambata:13;ambo:13-58;ambo:13-43;ambo:13-73;terzina:43-58-73|pos 3-4 verticale|
20120124|lottofacile1|NA,TO|6|0|ambata:30;ambo:30-53;ambo:30-35;terzina:30-35-53|pos 3-4 somma 37|
20120124|lottofacile1|PA,RM|6|0|ambata:22;ambo:22-84;ambo:22-48;terzina:22-48-84|pos 3-4 somma 6|
20120126|ambosecco_caotico|BA,GE,RM,NA|2|1|ambo:65-67;ambo:65-82|A=75 su BA/GE/RM, B=15 su NA|
20120126|ambosecco_caotico|BA,TO,CA|2|1|ambo:7-48;ambo:17-84|A=53 su BA/TO, B=37 su CA|
20120126|ambosecco_caotico|BA,CA,FI,GE|2|1|ambo:4-24;ambo:14-87|A=26 su BA/CA/FI, B=64 su GE|
20120126|ambosecco_caotico|FI,NA,MI|2|1|ambo:74-77;ambo:77-81|A=83 su FI/NA, B=7 su MI|
20120126|ambosecco_caotico|MI,VE,GE|2|1|ambo:5-32;ambo:15-86|A=35 su MI/VE, B=55 su GE|
20120126|lottofacile5|NA|9|0|ambata:90;ambo:12-90;ambo:57-90;quartina:12-42-72-90;quartina:27-57-87-90|rilevamento 33-78|potenza ridotta: ambata uscita negli ultimi 6 concorsi
20120126|lottofacile1|BA,MI|6|0|ambata:70;ambo:41-70;ambo:14-70;terzina:14-41-70|pos 3-5 somma 49|
20120126|lottofacile1|CA,RM|6|0|ambata:54;ambo:43-54;ambo:34-54;terzina:34-43-54|pos 2-3 somma 47|
20120126|lottofacile1|FI,VE|6|0|ambata:70;ambo:22-70;ambo:29-70;terzina:22-29-70|pos 1-4 somma 68|
20120126|lottofacile4|GE,TO|14|1|ambata:89;ambo:44-89;ambo:29-89;ambo:59-89;terzina:29-44-59|pos 1-3 diagonale|
20120126|lottofacile1|GE,TO|6|0|ambata:32;ambo:32-34;ambo:32-43;terzina:32-34-43|pos 1-3 somma 56|
20120126|lottofacile1|NA,PA|6|0|ambata:82;ambo:42-82;ambo:24-82;terzina:24-42-82|pos 1-4 somma 48|
20120126|lottofacile1|PA,TO|6|0|ambata:12;ambo:12-15;ambo:12-51;terzina:12-15-51|pos 2-5 somma 75|
20120128|ambosecco_caotico|BA,VE,CA,PA|2|1|ambo:7-13;ambo:23-89|A=7 su BA/VE, B=83 su CA/PA|
20120128|ambosecco_caotico|CA,PA,BA,VE|2|1|ambo:74-77;ambo:77-81|A=83 su CA/PA, B=7 su BA/VE|
20120128|ambosecco_caotico|MI,NA,RM|2|1|ambo:30-54;ambo:30-84|A=60 su MI/NA, B=30 su RM|
20120128|lottofacile5|NA|9|0|ambata:90;ambo:27-90;ambo:72-90;quartina:27-57-87-90;quartina:12-42-72-90|rilevamento 18-63|potenza ridotta: ambata uscita negli ultimi 6 concorsi
20120128|lottofacile1|CA,NA|6|0|ambata:36;ambo:9-36;ambo:36-90;terzina:9-36-90|pos 2-3 somma 81|
20120128|lottofacile1|MI,PA|6|0|ambata:32;ambo:8-32;ambo:32-80;terzina:8-32-80|pos 2-5 somma 82|
20120131|ambosecco_caotico|GE,MI,NA|2|1|ambo:8-56;ambo:18-83|A=62 su GE/MI, B=28 su NA|
20120131|ambosecco_caotico|RM,VE,TO|2|1|ambo:16-31;ambo:26-86|A=34 su RM/VE, B=56 su TO|
20120131|ambosecco_caotico|RM,TO,CA|2|1|ambo:1-79;ambo:89-89|A=1 su RM/TO, B=89 su CA|
20120131|lottofacile5|VE|9|0|ambata:27;ambata:72;ambo:21-27;ambo:27-66;ambo:21-72;ambo:66-72;quartina:21-27-51-81;quartina:6-27-36-66;quartina:21-51-72-81;quartina:6-36-66-72|rilevamento 42-87|
20120131|lottofacile4|CA,FI|14|1|ambata:47;ambo:2-47;ambo:47-77;ambo:17-47;terzina:2-17-77|pos 1-4 orizzontale|
20120131|lottofacile1|CA,RM|6|0|ambata:24;ambo:24-81;ambo:18-24;terzina:18-24-81|pos 1-5 somma 9|
20120131|fulmine|GE,PA|12|0|ambata:62;ambo:42-62;ambo:2-62;ambo:22-62;quartina:2-22-42-62|cadenza, coppie ((62, 2), (42, 22))|
20120131|fulmine|MI,PA|12|0|ambata:82;ambo:62-82;ambo:2-82;ambo:22-82;quartina:2-22-62-82|cadenza, coppie ((82, 2), (62, 22))|
20120131|fulmine|MI,PA|12|0|ambata:82;ambo:62-82;ambo:22-82;ambo:42-82;quartina:22-42-62-82|cadenza, coppie ((82, 22), (62, 42))|
20120131|lottofacile1|MI,VE|6|0|ambata:84;ambo:59-84;ambo:55-84;terzina:55-59-84|pos 1-3 somma 31|
